register.name 	register (pre) 	command 	condition 	evaluation 	--> 	register (post) 
g	[g == 0]	1: '[g == 0] dec 231 if ([bfx == 0] > -10)' (evaluated true)	([bfx == 0] > -10)	true	-->	[g == -231]
k	[k == 0]	2: '[k == 0] dec -567 if ([wfk == 0] == 0)' (evaluated true)	([wfk == 0] == 0)	true	-->	[k == 567]
jq	[jq == 0]	3: '[jq == 0] inc 880 if ([a == 0] < 2)' (evaluated true)	([a == 0] < 2)	true	-->	[jq == 880]
sh	[sh == 0]	4: '[sh == 0] inc -828 if ([nkr == 0] < -5)' (evaluated false)	([nkr == 0] < -5)	false	-->	[sh == 0]
w	[w == 0]	5: '[w == 0] inc 595 if ([nkr == 0] > -10)' (evaluated true)	([nkr == 0] > -10)	true	-->	[w == 595]
t	[t == 0]	6: '[t == 0] dec 737 if ([bfx == 0] < 5)' (evaluated true)	([bfx == 0] < 5)	true	-->	[t == -737]
ghj	[ghj == 0]	7: '[ghj == 0] dec -693 if ([pr == 0] == 0)' (evaluated true)	([pr == 0] == 0)	true	-->	[ghj == 693]
yo	[yo == 0]	8: '[yo == 0] inc -362 if ([t == -737] == -741)' (evaluated false)	([t == -737] == -741)	false	-->	[yo == 0]
pr	[pr == 0]	9: '[pr == 0] inc -851 if ([g == -231] <= -228)' (evaluated true)	([g == -231] <= -228)	true	-->	[pr == -851]
lpi	[lpi == 0]	10: '[lpi == 0] inc 628 if ([lpi == 0] <= 0)' (evaluated true)	([lpi == 0] <= 0)	true	-->	[lpi == 628]
pr	[pr == -851]	11: '[pr == -851] inc -748 if ([qn == 0] > -9)' (evaluated true)	([qn == 0] > -9)	true	-->	[pr == -1599]
rlq	[rlq == 0]	12: '[rlq == 0] dec -290 if ([k == 567] <= 574)' (evaluated true)	([k == 567] <= 574)	true	-->	[rlq == 290]
lpi	[lpi == 628]	13: '[lpi == 628] inc 252 if ([wfk == 0] == -4)' (evaluated false)	([wfk == 0] == -4)	false	-->	[lpi == 628]
nkr	[nkr == 0]	14: '[nkr == 0] dec -674 if ([bfx == 0] >= -7)' (evaluated true)	([bfx == 0] >= -7)	true	-->	[nkr == 674]
vh	[vh == 0]	15: '[vh == 0] dec 429 if ([fkp == 0] != 6)' (evaluated true)	([fkp == 0] != 6)	true	-->	[vh == -429]
w	[w == 595]	16: '[w == 595] dec 568 if ([w == 595] <= 604)' (evaluated true)	([w == 595] <= 604)	true	-->	[w == 27]
